NroCOntrol	PlantaTipo	LugarPago	Escuela	Juris	Prog	SubP	Actividad	fuente	dias_trabajados	haberSinAporte	haberConAporte	total_haberes	total_descuentos	total_liquido	C01	I01	C02	I02	C03	I03	C04	I04	C05	I05	C06	I06	C07	I07	C08	I08	mes	anio
59119553	D	59106	80435	55	15	07	01	R	030	000158115	001794144	001952259	000322946	001629313	521	001794144	522	000158115	602	000233239	615	000089707	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59122145	D	59122	80435	55	15	07	01	R	030	000163636	001874971	002038607	000337495	001701112	521	001874971	522	000163636	602	000243746	615	000093749	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59127535	D	59106	80443	55	15	07	01	R	030	000584896	002313533	002898429	000462707	002435722	521	002313533	522	000584896	602	000300759	615	000115677	616	000046271	663	000000000	664	000000000	665	000000000	11	22
59131204	D	59122	80443	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59134702	D	59106	80451	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59135143	D	59106	80451	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59140313	D	59122	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59143612	D	59106	80451	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59144561	D	59106	80451	55	15	07	01	R	030	000167368	001929604	002096972	000347329	001749643	521	001929604	522	000167368	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59146801	D	59106	80443	55	15	07	01	R	030	000560832	001954435	002515267	000390888	002124379	521	001954435	522	000560832	602	000254077	615	000097722	616	000039089	663	000000000	664	000000000	665	000000000	11	22
59148374	D	59106	80451	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59148793	D	59106	80443	55	15	01	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59150305	D	59122	80451	55	15	01	01	R	030	000007484	000172641	000180125	000031075	000149050	521	000172641	522	000007484	602	000022443	615	000008632	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59151872	D	59122	80443	55	15	07	01	R	030	000167368	001929604	002096972	000347329	001749643	521	001929604	522	000167368	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59073715	D	59122	80451	55	15	07	01	R	030	000370960	002026655	002397615	000364798	002032817	521	002026655	522	000370960	602	000263465	615	000101333	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59074952	D	59106	80451	55	15	07	01	R	030	000568060	002025469	002593529	000364584	002228945	521	002025469	522	000568060	602	000263311	615	000101273	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59078613	D	59106	80443	55	15	07	01	R	030	000171994	001997334	002169328	000359520	001809808	521	001997334	522	000171994	602	000259653	615	000099867	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59087031	D	59106	80435	55	15	07	01	R	030	000575129	002171096	002746225	000390797	002355428	521	002171096	522	000575129	602	000282242	615	000108555	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59093134	D	59114	80443	55	15	07	01	R	030	000177172	002091633	002268805	000397410	001871395	521	002091633	522	000177172	602	000271912	615	000104582	616	000020916	663	000000000	664	000000000	665	000000000	11	22
59097845	D	59122	80443	55	15	07	01	R	030	000074840	002163853	002238693	000389494	001849199	521	002163853	522	000074840	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59098451	D	59114	80443	55	15	01	01	R	030	000186844	002215055	002401899	000398710	002003189	521	002215055	522	000186844	602	000287957	615	000110753	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59106055	D	59106	80435	55	15	07	01	R	030	000171994	001997334	002169328	000359520	001809808	521	001997334	522	000171994	602	000259653	615	000099867	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59114121	D	59106	80451	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59119841	D	59106	80435	55	15	07	01	R	030	000445418	001590953	002036371	000286372	001749999	521	001590953	522	000445418	602	000206824	615	000079548	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59123112	D	59106	80435	55	15	07	01	R	030	000563127	001952430	002515557	000351438	002164119	521	001952430	522	000563127	602	000253816	615	000097622	616	000000000	663	000000000	664	000000000	665	000000000	11	22
